source_file,source_type,status,rows,columns,output_file
my_bom_dpp.csv,csv,converted,200,11,data/synthcity_ready/my_bom_dpp_synthcity_ready.csv
Vitocal 250-A_Indoor unit_BOM.xlsx,xlsx_bom,converted,1174,20,data/synthcity_ready/vitocal_250_a_indoor_unit_bom_synthcity_ready.csv
Vitocal 250-A_Outdoor unit_BOM.xlsx,xlsx_bom,converted,1271,21,data/synthcity_ready/vitocal_250_a_outdoor_unit_bom_synthcity_ready.csv
lexmark_c4342_dpp_full_03.txt,txt_dpp,converted,1,55,data/synthcity_ready/lexmark_c4342_dpp_full_03_synthcity_ready.csv
lexmark_cs421dn_dpp_full_05.txt,txt_dpp,converted,1,55,data/synthcity_ready/lexmark_cs421dn_dpp_full_05_synthcity_ready.csv
lexmark_cx431adw_dpp_full_04.txt,txt_dpp,converted,1,55,data/synthcity_ready/lexmark_cx431adw_dpp_full_04_synthcity_ready.csv
lexmark_ms631dn_dpp_full_01.txt,txt_dpp,converted,1,55,data/synthcity_ready/lexmark_ms631dn_dpp_full_01_synthcity_ready.csv
lexmark_mx622adhe_dpp_full_02.txt,txt_dpp,converted,1,55,data/synthcity_ready/lexmark_mx622adhe_dpp_full_02_synthcity_ready.csv
lexmark_*_dpp_full_*.txt,txt_dpp_combined,combined,5,55,data/synthcity_ready/lexmark_dpp_combined_synthcity_ready.csv
*.xlsx::BOM_ENG,xlsx_bom_combined,combined,2445,24,data/synthcity_ready/vitocal_bom_combined_synthcity_ready.csv
